Ref,Player,Nation,Pos,Squad,Born,Age,Matches_played,Starts,Minutes,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
168,Noelle Maritz,SUI,"DF,MF",Arsenal,1995,29,8,4,396,4.4,0,0,0,0,0,0,1,0,0,0,0.4,0.4,7,27,27,0,0,0,0,0,0,0.09,0.09,0,0.09
169,Noelle Maritz,SUI,DF,Aston Villa,1995,29,5,5,423,4.7,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,3,26,10,0,0,0,0,0,0.02,0,0.02,0.02,0.02
170,Jasmine Matthews,ENG,DF,Liverpool,1993,31,9,5,545,6.1,0,1,1,0,0,0,1,0,0.3,0.3,0.4,0.7,6,13,16,0,0.17,0.17,0,0.17,0.05,0.06,0.12,0.05,0.12
171,Sarah Mayling,ENG,DF,Aston Villa,1997,27,15,14,1243,13.8,1,0,1,0,1,1,3,0,0.9,0.1,0.5,0.5,15,63,35,0.07,0,0.07,0,0,0.06,0.03,0.1,0,0.04
172,Katie McCabe,IRL,"DF,MF",Arsenal,1995,29,14,13,1120,12.4,3,1,4,3,0,0,7,0,1.5,1.5,2.8,4.3,26,93,80,0.24,0.08,0.32,0.24,0.32,0.12,0.22,0.35,0.12,0.35
173,Olivia McLoughlin,ENG,"MF,DF",Aston Villa,2004,20,3,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
174,Beth Mead,ENG,FW,Arsenal,1995,29,13,9,772,8.6,4,2,6,4,0,0,0,0,4.3,4.3,2.8,7.1,20,36,109,0.47,0.23,0.7,0.47,0.7,0.5,0.32,0.83,0.5,0.83
175,Li Mengwen,CHN,DF,Brighton,1995,29,5,3,229,2.5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,4,7,6,0,0,0,0,0,0.04,0,0.04,0.04,0.04
176,Kristie Mewis,USA,"MF,FW",West Ham,1991,33,3,0,95,1.1,0,1,1,0,0,0,0,0,0.2,0.2,0,0.2,0,6,2,0,0.95,0.95,0,0.95,0.17,0.04,0.2,0.17,0.2
177,Teagan Micah,AUS,GK,Liverpool,1997,27,4,4,360,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,Vivianne Miedema,NED,MF,Arsenal,1996,28,7,3,252,2.8,1,0,1,1,0,0,0,0,0.9,0.9,0.6,1.5,7,16,14,0.36,0,0.36,0.36,0.36,0.33,0.21,0.54,0.33,0.54
179,Hinata Miyazawa,JPN,MF,Manchester Utd,1999,25,8,5,420,4.7,1,1,2,1,0,0,0,0,1,1,0.4,1.3,4,20,21,0.21,0.21,0.43,0.21,0.43,0.21,0.08,0.29,0.21,0.29
180,Maren Mjelde,NOR,DF,Chelsea,1989,35,6,5,406,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,1,10,2,0,0,0,0,0,0.03,0.03,0.06,0.03,0.06
181,Yuka Momiki,JPN,"MF,FW",Leicester City,1996,28,5,5,419,4.7,1,1,2,1,0,0,1,0,0.5,0.5,1.2,1.8,7,29,28,0.21,0.21,0.43,0.21,0.43,0.12,0.27,0.38,0.12,0.38
182,Esme Morgan,ENG,DF,Manchester City,2000,24,7,5,525,5.8,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,6,52,10,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04
183,Ffion Morgan,WAL,"MF,FW",Bristol City,2000,24,15,12,1120,12.4,1,2,3,1,0,0,0,0,0.6,0.6,2.1,2.7,29,27,52,0.08,0.16,0.24,0.08,0.24,0.05,0.17,0.22,0.05,0.22
184,Georgia Mullett,ENG,"FW,MF",Aston Villa,2005,19,2,0,36,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,Satara Murray,JAM,DF,Bristol City,1993,31,4,2,167,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,2,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08
186,Zećira Mušović,SWE,GK,Chelsea,1996,28,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,Chloe Mustaki,IRL,DF,Bristol City,1995,29,6,5,451,5,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,2,10,3,0,0,0,0,0,0.01,0,0.01,0.01,0.01
188,Lisa Naalsund,NOR,MF,Manchester Utd,1995,29,10,4,432,4.8,0,1,1,0,0,0,0,0,0.1,0.1,0.8,1,15,26,20,0,0.21,0.21,0,0.21,0.03,0.17,0.2,0.03,0.2
189,Fūka Nagano,JPN,MF,Liverpool,1999,25,15,15,1316,14.6,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.5,6,67,11,0,0,0,0,0,0.01,0.02,0.03,0.01,0.03
190,Jamie-Lee Napier,SCO,"DF,MF",Bristol City,2000,24,13,12,1111,12.3,0,1,1,0,0,0,4,0,0.6,0.6,0.2,0.8,19,26,35,0,0.08,0.08,0,0.08,0.05,0.01,0.06,0.05,0.06
191,Jessica Naz,ENG,"FW,MF",Tottenham,2000,24,15,4,555,6.2,1,2,3,1,0,0,2,0,1.1,1.1,0.7,1.9,27,10,49,0.16,0.32,0.49,0.16,0.49,0.19,0.12,0.3,0.19,0.3
192,Ashleigh Neville,ENG,DF,Tottenham,1993,31,12,12,1050,11.7,1,0,1,1,0,0,1,0,0.6,0.6,0.8,1.4,32,57,27,0.09,0,0.09,0.09,0.09,0.05,0.07,0.12,0.05,0.12
193,Courtney Nevin,AUS,"DF,MF",Leicester City,2002,22,14,13,1142,12.7,0,1,1,0,0,0,3,0,0.2,0.2,1,1.2,9,50,32,0,0.08,0.08,0,0.08,0.02,0.08,0.1,0.02,0.1
194,Amanda Nildén,SWE,DF,Tottenham,1998,26,4,4,360,4,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,8,16,9,0,0,0,0,0,0.13,0.1,0.23,0.13,0.23
195,Jordan Nobbs,ENG,MF,Aston Villa,1992,32,15,10,869,9.7,2,0,2,2,0,0,2,0,1.7,1.7,0.4,2.1,11,68,50,0.21,0,0.21,0.21,0.21,0.18,0.04,0.22,0.18,0.22
196,Aniek Nouwen,NED,DF,Chelsea,1999,25,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0.1,1,0,0,0,0,0,0,0,0,1.51,1.51,0,1.51
197,Sjoeke Nüsken,GER,"MF,DF",Chelsea,2001,23,14,8,720,8,4,2,6,4,0,0,1,0,5.8,5.8,0.8,6.6,9,46,47,0.5,0.25,0.75,0.5,0.75,0.72,0.1,0.82,0.72,0.82
198,Karoline Olesen,DEN,"MF,FW",Everton,2005,19,12,3,367,4.1,0,1,1,0,0,0,1,0,0,0,0.4,0.4,5,23,9,0,0.25,0.25,0,0.25,0,0.1,0.1,0,0.1
199,Leila Ouahabi,ESP,DF,Manchester City,1993,31,11,11,931,10.3,0,2,2,0,0,0,1,1,0.2,0.2,0.7,0.9,7,58,33,0,0.19,0.19,0,0.19,0.02,0.06,0.09,0.02,0.09
200,Shannon O’Brien,ENG,"FW,DF",Leicester City,2001,23,8,8,509,5.7,0,0,0,0,0,0,3,0,1.8,1.8,0.7,2.5,12,7,52,0,0,0,0,0,0.31,0.13,0.44,0.31,0.44
201,Mayumi Pacheco,ENG,DF,Aston Villa,1998,26,13,10,959,10.7,1,2,3,1,0,0,4,1,1,1,0.4,1.4,15,67,32,0.09,0.19,0.28,0.09,0.28,0.09,0.04,0.13,0.09,0.13
202,Aimee Palmer,ENG,MF,Leicester City,2000,24,7,4,308,3.4,1,0,1,1,0,0,1,0,0.2,0.2,0.2,0.4,0,15,9,0.29,0,0.29,0.29,0.29,0.05,0.05,0.1,0.05,0.1
203,Jessica Park,ENG,"MF,FW",Manchester City,2001,23,11,2,339,3.8,0,2,2,0,0,0,0,0,1.1,1.1,1.4,2.5,13,28,25,0,0.53,0.53,0,0.53,0.3,0.36,0.66,0.3,0.66
204,Lucy Parker,ENG,"MF,DF",Aston Villa,1998,26,6,4,385,4.3,1,0,1,1,0,0,2,0,0.7,0.7,0.6,1.3,7,16,5,0.23,0,0.23,0.23,0.23,0.16,0.14,0.3,0.16,0.3
205,Nikita Parris,ENG,FW,Manchester Utd,1994,30,14,11,837,9.3,8,1,9,8,0,0,1,0,3.8,3.8,1.6,5.5,15,22,63,0.86,0.11,0.97,0.86,0.97,0.41,0.18,0.59,0.41,0.59
206,Lucy Parry,ENG,"DF,MF",Liverpool,2004,20,6,0,61,0.7,0,0,0,0,0,0,0,0,0,0,0,0.1,6,7,3,0,0,0,0,0,0.05,0.05,0.1,0.05,0.1
207,Anna Patten,ENG,DF,Aston Villa,1999,25,15,15,1350,15,1,1,2,1,0,0,2,0,0.9,0.9,0.4,1.3,6,68,7,0.07,0.07,0.13,0.07,0.13,0.06,0.03,0.09,0.06,0.09
208,Poppy Pattinson,ENG,"DF,MF",Brighton,2000,24,10,9,721,8,0,1,1,0,0,0,0,0,0.2,0.2,1.2,1.4,16,33,24,0,0.12,0.12,0,0.12,0.03,0.15,0.17,0.03,0.17
209,Heather Payne,IRL,"DF,FW",Everton,2000,24,15,13,1170,13,0,0,0,0,0,0,3,0,0.2,0.2,1.7,2,43,26,53,0,0,0,0,0,0.02,0.13,0.15,0.02,0.15
210,Emilia Pelgander,SWE,MF,Leicester City,2004,20,3,0,20,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0
211,Victoria Pelova,NED,MF,Arsenal,1999,25,15,13,993,11,1,5,6,1,0,0,2,0,1.5,1.5,4.2,5.8,20,69,41,0.09,0.45,0.54,0.09,0.54,0.14,0.38,0.53,0.14,0.53
212,Ria Percival,NZL,"MF,FW",Tottenham,1989,35,6,2,174,1.9,1,0,1,1,0,0,0,0,0.3,0.3,0.1,0.4,1,7,4,0.52,0,0.52,0.52,0.52,0.16,0.03,0.19,0.16,0.19
